0.0,0.0,0.0,0.0
0.001,0.015983999999999998,0.0,0.0
0.002,0.031935999999999964,0.0,0.0
0.003,0.0478559999999999,0.0,0.0
0.004,0.06374400000000024,0.0,0.0
0.005,0.07960000000000012,0.0,0.0
0.006,0.09542399999999995,0.0,0.0
0.007,0.1112160000000002,0.0,0.0
0.008,0.12697599999999998,0.0,0.0
0.009,0.14270400000000016,0.0,0.0
0.01,0.15840000000000032,0.0,0.0
0.011,0.174064,0.0,0.0
0.012,0.1896960000000001,0.0,0.0
0.013,0.20529600000000015,0.0,0.0
0.014,0.22086400000000017,0.0,0.0
0.015,0.23640000000000017,0.0,0.0
0.016,0.25190400000000013,0.0,0.0
0.017,0.26737600000000006,0.0,0.0
0.018,0.2828160000000004,0.0,0.0
0.019,0.29822400000000027,0.0,0.0
0.02,0.3136000000000001,0.0,0.0
0.021,0.32894400000000035,0.0,0.0
0.022,0.3442560000000001,0.0,0.0
0.023,0.3595360000000003,0.0,0.0
0.024,0.37478400000000045,0.0,0.0
0.025,0.3900000000000001,0.0,0.0
0.026,0.4051840000000002,0.0,0.0
0.027,0.42033600000000026,0.0,0.0
0.028,0.4354560000000003,0.0,0.0
0.029,0.4505440000000003,0.0,0.0
0.03,0.46560000000000024,0.0,0.0
0.031,0.4806240000000006,0.0,0.0
0.032,0.4956160000000005,0.0,0.0
0.033,0.5105760000000004,0.0,0.0
0.034,0.5255040000000006,0.0,0.0
0.035,0.5404000000000004,0.0,0.0
0.036,0.5552639999999998,0.0,0.0
0.037,0.5700959999999995,0.0,0.0
0.038,0.5848959999999996,0.0,0.0
0.039,0.5996639999999998,0.0,0.0
0.04,0.6143999999999998,0.0,0.0
0.041,0.6291039999999999,0.0,0.0
0.042,0.6437759999999999,0.0,0.0
0.043,0.6584159999999999,0.0,0.0
0.044,0.6730239999999998,0.0,0.0
0.045,0.6875999999999998,0.0,0.0
0.046,0.7021439999999997,0.0,0.0
0.047,0.716656,0.0,0.0
0.048,0.7311359999999998,0.0,0.0
0.049,0.745584,0.0,0.0
0.05,0.7599999999999998,0.0,0.0
0.051,0.774384,0.0,0.0
0.052,0.7887359999999997,0.0,0.0
0.053,0.8030559999999998,0.0,0.0
0.054,0.8173439999999998,0.0,0.0
0.055,0.8315999999999999,0.0,0.0
0.056,0.8458239999999999,0.0,0.0
0.057,0.8600159999999999,0.0,0.0
0.058,0.8741759999999998,0.0,0.0
0.059,0.8883039999999998,0.0,0.0
0.06,0.9024000000000001,0.0,0.0
0.061,0.916464,0.0,0.0
0.062,0.9304960000000002,0.0,0.0
0.063,0.944496,0.0,0.0
0.064,0.9584640000000002,0.0,0.0
0.065,0.9723999999999999,0.0,0.0
0.066,0.9863040000000001,0.0,0.0
0.067,1.0001760000000002,0.0,0.0
0.068,1.0140160000000003,0.0,0.0
0.069,1.0278240000000003,0.0,0.0
0.07,1.0416000000000003,0.0,0.0
0.071,1.0553440000000003,0.0,0.0
0.072,1.0690560000000002,0.0,0.0
0.073,1.0827360000000001,0.0,0.0
0.074,1.096384,0.0,0.0
0.075,1.1100000000000003,0.0,0.0
0.076,1.1235840000000001,0.0,0.0
0.077,1.1371360000000004,0.0,0.0
0.078,1.1506560000000001,0.0,0.0
0.079,1.1641440000000003,0.0,0.0
0.08,1.1776000000000004,0.0,0.0
0.081,1.191024,0.0,0.0
0.082,1.2044160000000002,0.0,0.0
0.083,1.2177760000000002,0.0,0.0
0.084,1.2311040000000002,0.0,0.0
0.085,1.2444000000000002,0.0,0.0
0.086,1.2576639999999997,0.0,0.0
0.087,1.2708959999999996,0.0,0.0
0.088,1.2840959999999995,0.0,0.0
0.089,1.2972639999999998,0.0,0.0
0.09,1.3103999999999996,0.0,0.0
0.091,1.3235039999999998,0.0,0.0
0.092,1.3365759999999995,0.0,0.0
0.093,1.3496159999999997,0.0,0.0
0.094,1.3626239999999998,0.0,0.0
0.095,1.3755999999999995,0.0,0.0
0.096,1.3885439999999996,0.0,0.0
0.097,1.4014559999999996,0.0,0.0
0.098,1.4143359999999996,0.0,0.0
0.099,1.4271839999999996,0.0,0.0
0.1,1.4399999999999995,0.0,0.0
0.101,1.4527839999999999,0.0,0.0
0.102,1.4655359999999997,0.0,0.0
0.103,1.4782559999999996,0.0,0.0
0.104,1.4909439999999998,0.0,0.0
0.105,1.5035999999999996,0.0,0.0
0.106,1.5162239999999998,0.0,0.0
0.107,1.528816,0.0,0.0
0.108,1.5413759999999996,0.0,0.0
0.109,1.5539039999999997,0.0,0.0
0.11,1.5663999999999998,0.0,0.0
0.111,1.5788639999999998,0.0,0.0
0.112,1.5912959999999998,0.0,0.0
0.113,1.6036959999999998,0.0,0.0
0.114,1.6160639999999997,0.0,0.0
0.115,1.6284,0.0,0.0
0.116,1.640704,0.0,0.0
0.117,1.6529759999999998,0.0,0.0
0.118,1.665216,0.0,0.0
0.119,1.6774239999999998,0.0,0.0
0.12,1.6896,0.0,0.0
0.121,1.7017440000000001,0.0,0.0
0.122,1.7138559999999998,0.0,0.0
0.123,1.725936,0.0,0.0
0.124,1.737984,0.0,0.0
0.125,1.75,0.0,0.0
0.126,1.761984,0.0,0.0
0.127,1.773936,0.0,0.0
0.128,1.7858559999999999,0.0,0.0
0.129,1.7977440000000002,0.0,0.0
0.13,1.8096,0.0,0.0
0.131,1.821424,0.0,0.0
0.132,1.8332160000000002,0.0,0.0
0.133,1.844976,0.0,0.0
0.134,1.8567040000000001,0.0,0.0
0.135,1.8684000000000003,0.0,0.0
0.136,1.880064,0.0,0.0
0.137,1.891696,0.0,0.0
